iter	Passed	Remaining
165	2208	4444
166	2220	4426
167	2231	4410
168	2243	4393
169	2254	4377
170	2265	4359
171	2277	4342
172	2288	4326
173	2300	4309
174	2311	4293
175	2322	4276
176	2334	4260
177	2345	4243
178	2359	4230
179	2370	4213
180	2381	4197
181	2393	4182
182	2404	4165
183	2417	4152
184	2430	4138
185	2444	4126
186	2456	4111
187	2466	4094
188	2479	4079
189	2490	4063
190	2501	4047
191	2512	4031
192	2523	4014
193	2534	3998
194	2547	3985
195	2558	3968
196	2570	3953
197	2581	3937
198	2592	3921
199	2603	3905
200	2614	3889
201	2625	3873
202	2637	3858
203	2648	3842
204	2659	3827
205	2670	3811
206	2681	3795
207	2694	3782
208	2705	3767
209	2717	3752
210	2728	3737
211	2739	3721
212	2750	3705
213	2761	3690
214	2772	3675
215	2784	3661
216	2797	3647
217	2808	3632
218	2818	3617
219	2829	3601
220	2841	3587
221	2853	3572
222	2864	3558
223	2875	3542
224	2887	3528
225	2898	3514
226	2910	3499
227	2921	3485
228	2934	3472
229	2945	3457
230	2956	3443
231	2968	3428
232	2979	3413
233	2990	3399
234	3000	3383
235	3011	3368
236	3022	3354
237	3034	3340
238	3045	3326
239	3057	3311
240	3069	3298
241	3080	3283
242	3091	3269
243	3103	3256
244	3116	3243
245	3128	3230
246	3142	3218
247	3156	3207
248	3169	3194
249	3182	3182
250	3195	3169
251	3208	3157
252	3220	3143
253	3233	3131
254	3246	3119
255	3259	3106
256	3272	3094
257	3286	3082
258	3300	3070
259	3313	3058
260	3325	3044
261	3337	3032
262	3351	3020
263	3368	3011
264	3382	2999
265	3397	2988
266	3411	2976
267	3425	2965
268	3439	2953
269	3454	2942
270	3467	2930
271	3481	2918
272	3495	2906
273	3507	2893
274	3521	2881
275	3534	2868
276	3547	2855
277	3561	2843
278	3573	2830
279	3587	2818
280	3602	2807
281	3615	2795
282	3629	2783
283	3642	2770
284	3658	2759
285	3670	2746
286	3684	2734
287	3698	2722
288	3711	2709
289	3724	2697
290	3735	2682
291	3748	2670
292	3762	2657
293	3775	2645
294	3786	2631
295	3799	2618
296	3811	2605
297	3825	2593
298	3838	2580
299	3850	2567
300	3862	2553
301	3876	2541
302	3889	2528
303	3901	2515
304	3915	2503
305	3929	2491
306	3942	2478
307	3958	2467
308	3971	2454
309	3986	2443
310	4001	2432
311	4014	2419
312	4030	2407
313	4044	2395
314	4058	2383
315	4071	2370
316	4084	2357
317	4096	2344
318	4107	2330
319	4120	2317
320	4132	2304
321	4149	2293
322	4160	2279
323	4172	2266
324	4184	2253
325	4196	2239
326	4210	2227
327	4223	2214
328	4235	2201
329	4248	2188
330	4261	2175
331	4273	2162
332	4285	2149
333	4299	2136
334	4311	2123
335	4322	2109
336	4334	2096
337	4348	2084
338	4362	2071
339	4377	2059
340	4389	2046
341	4402	2033
342	4414	2020
343	4426	2007
344	4440	1994
345	4453	1982
346	4466	1969
347	4478	1955
348	4488	1941
349	4501	1929
350	4515	1916
351	4530	1904
352	4543	1892
353	4555	1879
354	4568	1866
355	4581	1853
356	4594	1840
357	4606	1827
358	4618	1813
359	4629	1800
360	4641	1787
361	4653	1773
362	4665	1760
363	4676	1747
364	4687	1733
365	4699	1720
366	4711	1707
367	4723	1694
368	4734	1680
369	4745	1667
370	4756	1654
371	4768	1640
372	4780	1627
373	4793	1614
374	4804	1601
375	4815	1588
376	4828	1575
377	4839	1562
378	4851	1548
379	4863	1535
380	4876	1523
381	4888	1509
382	4900	1497
383	4913	1484
384	4925	1471
385	4936	1457
386	4945	1444
387	4956	1430
388	4966	1417
389	4977	1403
390	4989	1390
391	4999	1377
392	5010	1364
393	5020	1350
394	5031	1337
395	5041	1323
396	5051	1310
397	5061	1297
398	5071	1283
399	5082	1270
400	5094	1257
401	5104	1244
402	5114	1230
403	5124	1217
404	5134	1204
405	5144	1191
406	5159	1179
407	5173	1166
408	5187	1154
409	5199	1141
410	5210	1128
411	5220	1115
412	5231	1102
413	5242	1089
414	5253	1075
415	5264	1062
416	5275	1049
417	5285	1036
418	5295	1023
419	5305	1010
420	5316	997
421	5331	985
422	5343	972
423	5354	959
424	5365	946
425	5377	934
426	5393	922
427	5403	909
428	5414	896
429	5425	883
430	5438	870
431	5448	857
432	5460	844
433	5471	832
434	5481	819
435	5491	806
436	5501	793
437	5513	780
438	5524	767
439	5537	755
440	5549	742
441	5561	729
442	5573	717
443	5586	704
444	5598	691
445	5610	679
446	5621	666
447	5633	653
448	5645	641
449	5658	628
450	5671	616
451	5684	603
452	5697	591
453	5710	578
454	5723	566
455	5738	553
456	5750	541
457	5761	528
458	5775	515
459	5787	503
460	5798	490
461	5808	477
462	5820	465
463	5832	452
464	5842	439
465	5852	426
466	5862	414
467	5873	401
468	5884	388
469	5894	376
470	5904	363
471	5916	350
472	5926	338
473	5937	325
474	5949	313
475	5959	300
476	5969	287
477	5980	275
478	5991	262
479	6000	250
480	6011	237
481	6021	224
482	6032	212
483	6043	199
484	6054	187
485	6065	174
486	6075	162
487	6086	149
488	6095	137
489	6106	124
490	6115	112
491	6128	99
492	6138	87
493	6151	74
494	6164	62
495	6175	49
496	6186	37
497	6196	24
498	6207	12
499	6218	0
