iter	Logloss
0	0.6352830021
1	0.5894164669
2	0.5574538731
3	0.534229912
4	0.5156406136
5	0.5011395622
6	0.4897658344
7	0.4787436144
8	0.4735357291
9	0.4674531977
10	0.4644696916
11	0.4574831752
12	0.455014024
13	0.4528124403
14	0.4507673564
15	0.4488009809
16	0.44725522
17	0.4451765996
18	0.4414657579
19	0.4400609062
20	0.4369137882
21	0.4347907852
22	0.4326295633
23	0.4306257949
24	0.4296940961
25	0.4276702321
26	0.42648829
27	0.4253038274
28	0.4237039996
29	0.4214817121
30	0.4206549168
31	0.4194877486
32	0.4184156226
33	0.4178768407
34	0.4169550386
35	0.4158088128
36	0.4146415368
37	0.4141603995
38	0.4133219007
39	0.4120418733
40	0.411143097
41	0.4107985085
42	0.4104607556
43	0.4096552357
44	0.4092912541
45	0.4086010594
46	0.408071587
47	0.4077982916
48	0.4073488829
49	0.406924734
50	0.4064043024
51	0.4062016657
52	0.4055905185
53	0.4053559647
54	0.4050482824
55	0.4046065177
56	0.4037461724
57	0.4035256688
58	0.4033262618
59	0.403052269
60	0.4025662002
61	0.4023918337
62	0.4019086363
63	0.4016546651
64	0.4014766898
65	0.4012061775
66	0.4009941754
67	0.4004552294
68	0.4002302546
69	0.4000554882
70	0.399900031
71	0.3995695028
72	0.3993988922
73	0.3991354774
74	0.3990020864
75	0.3988453015
76	0.3987320137
77	0.3985517762
78	0.3982484137
79	0.3980443142
80	0.3978519727
81	0.3975509176
82	0.3974507721
83	0.397341875
84	0.3972076532
85	0.3970712649
86	0.3967202705
87	0.3964668498
88	0.3963541052
89	0.3961752969
90	0.3959155102
91	0.3958405394
92	0.3957147198
93	0.395581903
94	0.3954754206
95	0.3952837307
96	0.3952004817
97	0.3947848019
98	0.3946141397
99	0.3945245662
100	0.394438769
101	0.3943328104
102	0.3942575179
103	0.3941568109
104	0.3940233276
105	0.3935682537
106	0.3934162978
107	0.3933264167
108	0.3932162302
109	0.3931344188
110	0.3929391756
111	0.3928462763
112	0.3927523856
113	0.3926623577
114	0.3925810722
115	0.3924904916
116	0.3924102791
117	0.3923477204
118	0.3922669486
119	0.3921980481
120	0.3921115218
121	0.3920508573
122	0.391950789
123	0.3918914709
124	0.3918157372
125	0.391746274
126	0.3916800444
127	0.3916193875
128	0.3915629067
129	0.3915134102
130	0.3914506485
131	0.3913459889
132	0.3912193941
133	0.3911829714
134	0.3911084497
135	0.3910752048
136	0.3910224965
137	0.3909753527
138	0.390900513
139	0.3908509605
140	0.3908335149
141	0.3907541097
142	0.3907015166
143	0.3906331998
144	0.3905821214
145	0.3905368926
146	0.3904705374
147	0.3904325732
148	0.39034001
149	0.3902243841
150	0.3901652123
151	0.3900605058
152	0.3900034524
153	0.3899460126
154	0.3898943832
155	0.3898747364
156	0.389747064
157	0.3897061366
158	0.3895999003
159	0.3894851266
160	0.3894014251
161	0.3893307915
162	0.3892665739
163	0.3892318187
164	0.3891655338
165	0.3890962979
166	0.3890296005
167	0.388960736
168	0.3889231807
169	0.3888778907
170	0.3888074279
171	0.3887582474
172	0.3886889972
173	0.3886386925
174	0.3885847619
175	0.3885168842
176	0.3884821939
177	0.3884521318
178	0.388406557
179	0.3883228343
180	0.3882696379
181	0.3882447489
182	0.3880809056
183	0.3880337723
184	0.3880141111
185	0.3879728794
186	0.3879113034
187	0.3878850469
188	0.3878406964
189	0.3877760606
190	0.3876396528
191	0.3875610325
192	0.3875266095
193	0.3875063456
194	0.3874460937
195	0.3874271171
196	0.3873910598
197	0.3873536679
198	0.3873163227
199	0.387271259
200	0.3872283694
201	0.3870751172
202	0.3870199684
203	0.3869888242
204	0.3869350616
205	0.3868870194
206	0.3868348682
207	0.3867900817
208	0.3867347047
209	0.386716185
210	0.3866752246
211	0.3866350426
212	0.3865295019
213	0.3864756542
214	0.3864209816
215	0.3863478149
216	0.3862800394
217	0.3862338313
218	0.3861836319
219	0.386147132
220	0.386104218
221	0.3860572429
222	0.3860178297
223	0.3859743379
224	0.3858829033
225	0.3858441313
226	0.3857958641
227	0.3857462329
228	0.3856937425
229	0.3856180869
230	0.3855733795
231	0.3855196093
232	0.3854637818
233	0.385403062
234	0.385346788
235	0.3852950085
236	0.385263357
237	0.385199702
238	0.3851692942
239	0.3850909533
240	0.3850422347
241	0.3849391966
242	0.384898001
243	0.384832654
244	0.3847744736
245	0.3847436055
246	0.3846967708
247	0.384651196
248	0.3846066451
249	0.3845643853
250	0.3845135895
251	0.3844786095
252	0.3844264985
253	0.3843492074
254	0.3843165647
255	0.3842777717
256	0.384230127
257	0.3841907708
258	0.3841657781
259	0.3840983139
260	0.3840167645
261	0.3839812712
262	0.3839404046
263	0.3839024341
264	0.383867214
265	0.3837999803
266	0.3837715841
267	0.3837318515
268	0.3836649127
269	0.3835947991
270	0.3835704483
271	0.3835246452
272	0.3834903128
273	0.3834293221
274	0.3833889121
275	0.3833304963
276	0.3833070668
277	0.3832650259
278	0.3832049801
279	0.3831354726
280	0.3830805103
281	0.3830426921
282	0.3830059456
283	0.3829605331
284	0.3828969302
285	0.3828351789
286	0.3827796382
287	0.382723684
288	0.3826814076
289	0.3826181136
290	0.3825705749
291	0.3825431583
292	0.3824839235
293	0.3824239419
294	0.3823880943
295	0.3823312463
296	0.3822820974
297	0.3822186459
298	0.3821716425
299	0.3821182016
300	0.3820835789
301	0.3820488506
302	0.3820110098
303	0.3819590641
304	0.3819103776
305	0.3818911078
306	0.3818446889
307	0.3817908319
308	0.3817547053
309	0.3817205815
310	0.3816617766
311	0.3816289734
312	0.381576396
313	0.3815285751
314	0.3814975068
315	0.3814432097
316	0.3814212097
317	0.3813599592
318	0.3813084895
319	0.3812506322
320	0.3812141711
321	0.3811796316
322	0.3811560771
323	0.3811098215
324	0.3810658476
325	0.3810217065
326	0.3809759053
327	0.3809364852
328	0.380894955
329	0.3808684998
330	0.38083585
331	0.380804073
332	0.3807658284
333	0.3807331481
334	0.3807047768
335	0.3806659072
336	0.3806215073
337	0.3805727607
338	0.3805270128
339	0.3805025614
340	0.3804689416
341	0.3804426711
342	0.3803916639
343	0.3803713088
344	0.3803236189
345	0.3801740543
346	0.3801458777
347	0.3801105202
348	0.3800661586
349	0.3800184763
350	0.3799922068
351	0.3799325766
352	0.379910201
353	0.3798597258
354	0.3798365108
355	0.3797958268
356	0.3797556268
357	0.3797094277
358	0.3796665922
359	0.3796327845
360	0.3796044562
361	0.3795588855
362	0.3795126159
363	0.3794926935
364	0.3794518972
365	0.379418975
366	0.3793872237
367	0.3793495408
368	0.3793225679
369	0.379283841
370	0.3792435614
371	0.3792198228
372	0.3791874552
373	0.3791452235
374	0.3790986935
375	0.3790582368
376	0.3790260143
377	0.378987575
378	0.3789533935
379	0.3788943278
380	0.3788524571
381	0.3788146201
382	0.3787873856
383	0.3787618954
384	0.3787364247
385	0.3787008993
386	0.3786759147
387	0.3786464562
388	0.3786088157
389	0.3785582897
390	0.3785232823
391	0.3784960015
392	0.3784651525
393	0.3784254205
394	0.3783857208
395	0.3783594684
396	0.3783229464
397	0.3782800201
398	0.3782469181
399	0.3782131822
400	0.3781456085
401	0.3781117861
402	0.3780770162
403	0.3780235462
404	0.3779801985
405	0.3779327667
406	0.3778901629
407	0.3778332673
408	0.3777903323
409	0.377752241
410	0.3777184803
411	0.3776892441
412	0.3776504895
413	0.3776126612
414	0.3775647188
415	0.3775138367
416	0.3774523066
417	0.3774201177
418	0.3773638153
419	0.3773299089
420	0.3772947764
421	0.3772607886
422	0.377224837
423	0.37717146
424	0.377135438
425	0.3770790918
426	0.377029852
427	0.3770077212
428	0.3769727221
429	0.376936585
430	0.3769036206
431	0.376854396
432	0.3768017657
433	0.3767494327
434	0.3767296976
435	0.3766816012
436	0.3766458163
437	0.3766232497
438	0.3765626207
439	0.3765288543
440	0.3764899518
441	0.376449756
442	0.3764203549
443	0.3763870423
444	0.3763562776
445	0.3763134641
446	0.3762722102
447	0.3762440096
448	0.3762190271
449	0.376187101
450	0.3761368458
451	0.3760893773
452	0.3760441235
453	0.3759986837
454	0.3759450173
455	0.3758993641
456	0.3758703554
457	0.3758463563
458	0.3758072504
459	0.3757727032
460	0.3757319437
461	0.3756784283
462	0.3756240911
463	0.3755764612
464	0.3755472729
465	0.3755222752
466	0.3754837062
467	0.3754490678
468	0.3754282482
469	0.3753973011
470	0.3753588847
471	0.3753109161
472	0.3752622101
473	0.3752209668
474	0.3751815849
475	0.3751532119
476	0.3751183559
477	0.3750851022
478	0.3750497444
479	0.3750243297
480	0.3749870637
481	0.3749461045
482	0.3749066637
483	0.3748726033
484	0.3748321182
485	0.3747937952
486	0.3747563591
487	0.3747222293
488	0.37469432
489	0.3746506795
490	0.3746158954
491	0.3745732555
492	0.3745603332
493	0.3745301314
494	0.3745095756
495	0.3744532793
496	0.3744224583
497	0.3743999887
498	0.3743629035
499	0.3743292508
